user_id,user_x_m,user_y_m,request_weight,request_probability,is_daily_active,region,assigned_gpu_id,distance_to_gpu_m,second_nearest_gpu_id,second_nearest_distance_m
0,791.4373518923647,551.1080624482194,0.0,0.0,False,tokyo,10,122.74412661130779,11,171.60724077241886
1,197.8799641939618,304.26018531426627,0.0,0.0,False,tokyo,1,59.518695219174795,0,118.42036615961065
2,624.782185891852,255.59482943349977,0.0,0.0,False,tokyo,3,87.49141167306976,4,148.0624767747318
3,105.18154731989127,817.906274773634,0.0,0.0,False,tokyo,6,152.52778372336005,7,209.15326438455705
4,832.566508579992,345.1683156252865,0.0,0.0,False,tokyo,4,82.46916531096036,5,86.29570882360932
5,215.8254571463074,407.2580340807663,0.0,0.0,False,tokyo,1,81.7444493822004,0,152.17377465143525
6,180.26072147448568,387.10360055675886,0.0,0.0,False,tokyo,1,88.2653191376125,0,111.29621527681343
7,828.8181407865595,96.52867500305184,0.0,0.0,False,tokyo,4,248.94648135952653,5,252.72928512259557
8,242.2459619761136,668.3759538218259,0.0,0.0,False,tokyo,7,7.875173305754831,6,159.25190628252338
9,149.82769458772583,251.86605787746996,0.0,0.0,False,tokyo,0,105.11259357590039,1,128.9077473852987
10,804.6396794180617,544.6322735155784,0.0,0.0,False,tokyo,10,133.60791777824642,11,166.80654293943638
11,920.9360639473333,674.3442782385886,0.0,0.0,False,tokyo,11,7.909418079014165,10,170.09469201817546
12,143.3058324535633,557.8997318378458,1.0,0.0005,True,tokyo,6,124.65818040133269,7,152.59919364623477
13,36.393496599885886,945.3072048229145,0.0,0.0,False,tokyo,6,282.1826826995741,7,350.83135343233886
14,314.90033045912713,143.71493869514407,0.0,0.0,False,tokyo,1,200.10219220909843,2,215.06551781617273
15,613.4091471820769,683.793479522408,0.0,0.0,False,tokyo,9,33.86619099406665,10,138.61191771861792
16,615.5010285524463,695.5533165628398,0.0,0.0,False,tokyo,9,42.515958022838646,10,138.47477441787984
17,80.8698188363769,610.5238707340501,0.0,0.0,False,tokyo,6,56.516288348175685,7,178.31032319331445
18,715.1082690815856,856.177315999109,0.0,0.0,False,tokyo,10,192.5520013839031,9,230.1682756380562
19,342.6639931820799,142.68934708630266,0.0,0.0,False,tokyo,2,204.31345164249868,1,211.67134960803347
20,109.81377380573531,554.8074870997674,0.0,0.0,False,tokyo,6,115.3522362877027,7,179.55316194781534
21,612.6675432566217,601.4005315247937,0.0,0.0,False,tokyo,9,71.58993155884328,10,153.09852661893328
22,286.7953511465152,395.1470871610233,1.0,0.0005,True,tokyo,1,72.22297632052549,2,144.27581580313142
23,909.4243614644349,942.6725424892363,0.0,0.0,False,tokyo,11,275.80589598261395,10,317.9522432502934
24,212.82325300327722,304.24239302749965,0.0,0.0,False,tokyo,1,47.0011752623606,0,132.97021087122383
25,913.3408845620311,59.22292426779552,0.0,0.0,False,tokyo,5,273.81671708122855,4,318.28988359176594
26,342.9255770321953,508.8583166765717,0.0,0.0,False,tokyo,8,174.63050175264547,7,183.422885352766
27,649.9437397846181,67.6135160296476,0.0,0.0,False,tokyo,3,273.45669253270717,4,283.9759736366179
28,546.9367197536984,237.87735374942466,0.0,0.0,False,tokyo,3,102.08821955704774,2,161.0337510277372
29,706.8848039515487,968.3979003413068,0.0,0.0,False,tokyo,10,304.6093315257128,9,325.48635819702014
30,168.71799164277013,598.6417503290629,0.0,0.0,False,tokyo,7,106.20553272150636,6,109.63769602351273
31,510.76699329929085,886.3963407265077,0.0,0.0,False,tokyo,9,231.29597401296886,8,238.59380410348277
32,751.2257531658591,267.899433464004,0.0,0.0,False,tokyo,4,65.10095796376223,5,179.02997841256246
33,308.8990325634064,870.20032209175,0.0,0.0,False,tokyo,7,211.5643328519629,8,230.16557096776745
34,599.0687164645692,387.72974882192835,1.0,0.0005,True,tokyo,3,56.766289485934756,4,161.48826682714392
35,264.60651330581095,991.6395550376335,0.0,0.0,False,tokyo,7,324.9679844630629,8,358.6287990134711
36,606.7700288563964,195.01136064617162,0.0,0.0,False,tokyo,3,139.8547060518238,4,199.60748775235274
