trigger_time_ns,source_instance_id,source_capacity_pressure,source_slot_pressure,target_instance_id,user_id,user_recent_request_count,seeded_tokens,estimated_transfer_ns
24301180414,2,0.7138215652250745,0.09375,4,8,9,2000,211807699
24301180414,2,0.7138215652250745,0.09375,4,9,7,2000,211807699
24301180414,2,0.7138215652250745,0.09375,4,11,3,2000,211807699
26311774510,2,0.7483157153270519,0.1796875,4,10,3,2000,211807699
28312619428,2,0.8173040155310068,0.1953125,1,9,9,2000,211807699
30320805373,2,0.7839408211700778,0.1875,1,9,10,2000,211807699
34326028994,2,0.8198172505111144,0.1953125,3,9,11,2000,211807699
34326028994,2,0.8198172505111144,0.1953125,3,10,4,2000,211807699
36330762140,2,0.9218545907034849,0.21875,0,9,13,2000,211807699
36330762140,2,0.9218545907034849,0.21875,0,10,5,2000,211807699
37331266755,4,0.7123764551115125,0.171875,0,19,7,2000,211807699
37331266755,4,0.7123764551115125,0.171875,0,16,5,2000,211807699
37331266755,4,0.7123764551115125,0.171875,0,17,5,2000,211807699
38334360351,2,0.9917225231504775,0.234375,0,9,14,2000,211807699
38334360351,2,0.9917225231504775,0.234375,0,10,7,2000,211807699
39339936052,4,0.8153562584214233,0.125,0,19,8,2000,211807699
39339936052,4,0.8153562584214233,0.125,0,17,6,2000,211807699
39339936052,4,0.8153562584214233,0.125,0,16,6,2000,211807699
41352866117,4,0.8823968015157948,0.2109375,0,19,8,2000,211807699
42353626732,2,0.9917225231504775,0.234375,0,8,5,2000,211807699
44153993475,1,0.7141985504720906,0.1015625,3,6,7,2000,211807699
44153993475,1,0.7141985504720906,0.1015625,3,7,5,2000,211807699
44153993475,1,0.7141985504720906,0.1015625,3,4,5,2000,211807699
44354100135,2,0.9917225231504775,0.234375,3,8,6,2000,211807699
44754158790,0,0.7131304256055448,0.1640625,3,2,7,2000,211807699
44754158790,0,0.7131304256055448,0.1640625,3,1,5,2000,211807699
44754158790,0,0.7131304256055448,0.1640625,3,0,3,2000,211807699
44954222582,3,0.714324212221096,0.1640625,0,14,5,2000,211807699
44954222582,3,0.714324212221096,0.1640625,0,12,5,2000,211807699
44954222582,3,0.714324212221096,0.1640625,0,15,4,2000,211807699
45354274431,4,0.8149164422999046,0.1953125,0,18,5,2000,211807699
46154347892,1,0.7476874065820249,0.1796875,3,5,5,2000,211807699
46354503868,2,0.9586734831620619,0.2265625,1,9,13,2000,211807699
46354503868,2,0.9586734831620619,0.2265625,1,8,8,2000,211807699
46755433656,0,0.8157332436684395,0.1953125,1,1,6,2000,211807699
46956400508,3,0.7479387300800358,0.109375,1,14,6,2000,211807699
47357047047,4,0.7815532479389755,0.0703125,1,17,7,2000,211807699
48357216342,2,0.9248076418051114,0.2109375,1,9,13,2000,211807699
48357216342,2,0.9248076418051114,0.2109375,1,8,7,2000,211807699
48757340272,0,0.8501017320214116,0.203125,1,3,3,2000,211807699
49760154783,1,0.7144498739701013,0.1015625,4,6,9,2000,211807699
50360226542,2,0.9919110157739855,0.234375,1,8,8,2000,211807699
50360226542,2,0.9919110157739855,0.234375,1,10,7,2000,211807699
50760305560,0,0.8506043790174331,0.203125,1,1,6,2000,211807699
50960332148,3,0.9182103999823288,0.2109375,1,14,8,2000,211807699
50960332148,3,0.9182103999823288,0.2109375,1,12,6,2000,211807699
50960332148,3,0.9182103999823288,0.2109375,1,13,4,2000,211807699
