condition,load_level,seed,requests,unique_sessions,return_visit_requests,return_visit_rate,target_rate_rps,duration_s,mean_input_toks,campus_requests,resident_requests,min_requests_per_gpu,max_requests_per_gpu,workload
daily_average_seed1,daily_average,1,300,288,12,0.04,2.5,120.0,3860.0,300,0,4,106,workloads/unbal_daily_average_seed1.jsonl
busy_hour_seed1,busy_hour,1,300,288,12,0.04,9.0,33.333333333,3860.0,300,0,4,106,workloads/unbal_busy_hour_seed1.jsonl
peak_2x_seed1,peak_2x,1,300,288,12,0.04,18.0,16.666666667,3860.0,300,0,4,106,workloads/unbal_peak_2x_seed1.jsonl
peak_3x_seed1,peak_3x,1,300,288,12,0.04,27.0,11.111111111,3860.0,300,0,4,106,workloads/unbal_peak_3x_seed1.jsonl
peak_4x_seed1,peak_4x,1,300,288,12,0.04,36.0,8.333333334,3860.0,300,0,4,106,workloads/unbal_peak_4x_seed1.jsonl
peak_5x_seed1,peak_5x,1,300,288,12,0.04,45.0,6.666666667,3860.0,300,0,4,106,workloads/unbal_peak_5x_seed1.jsonl
peak_6x_seed1,peak_6x,1,300,288,12,0.04,54.0,5.555555556,3860.0,300,0,4,106,workloads/unbal_peak_6x_seed1.jsonl
peak_7x_seed1,peak_7x,1,300,288,12,0.04,63.0,4.761904762,3860.0,300,0,4,106,workloads/unbal_peak_7x_seed1.jsonl
peak_8x_seed1,peak_8x,1,300,288,12,0.04,72.0,4.166666667,3860.0,300,0,4,106,workloads/unbal_peak_8x_seed1.jsonl
peak_9x_seed1,peak_9x,1,300,288,12,0.04,81.0,3.703703704,3860.0,300,0,4,106,workloads/unbal_peak_9x_seed1.jsonl
peak_10x_seed1,peak_10x,1,300,288,12,0.04,90.0,3.333333333,3860.0,300,0,4,106,workloads/unbal_peak_10x_seed1.jsonl
