user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m
0,639.4267984578837,25.010755222666937,1.0,0.1,1,487.6896713622452
1,275.02931836911927,223.21073814882274,1.0,0.1,0,277.91862523793236
2,736.4712141640124,676.6994874229113,1.0,0.1,1,177.2166383320584
3,892.1795677048455,86.93883262941615,1.0,0.1,1,436.8461485034362
4,421.9218196852704,29.797219438070343,1.0,0.1,0,500.6473478727964
5,218.63797480360336,505.3552881033624,1.0,0.1,0,31.815966669102366
6,26.535969683863627,198.8376506866485,1.0,0.1,0,375.01324441820486
7,649.8844377795232,544.9414806032166,1.0,0.1,1,109.73997666088444
8,220.4406220406967,589.2656838759087,1.0,0.1,0,94.0325430006794
9,809.4304566778267,6.498759678061017,1.0,0.1,1,497.06685001137146
