user_id,request_weight
0,0.6577
1,0.3117
2,1.3119
3,0.1549
4,1.0818
5,0.7414
6,0.1260
7,1.0249
8,0.0850
9,0.8773
10,0.1497
11,0.1914
12,0.8590
13,1.6637
14,0.2576
15,0.4565
16,1.2649
17,1.9054
18,1.1642
19,0.8034
20,1.9625
21,0.1032
22,1.7269
23,0.5892
24,0.2985
25,0.2456
26,0.6270
27,1.6423
28,0.3715
29,1.1732
30,1.2878
31,0.7548
32,1.1055
33,0.1356
34,0.1292
35,0.4219
36,1.3708
37,0.8652
38,0.6383
39,1.1811
40,0.9164
41,0.6095
42,1.5988
43,1.4080
44,0.4982
45,1.1588
46,1.0604
47,1.7603
48,1.4689
49,0.5859
50,1.9703
51,0.2461
52,0.8462
53,1.5243
54,0.3140
55,0.9879
56,0.0884
57,1.3464
58,1.5391
59,1.1561
60,1.7610
61,0.6375
62,1.4006
63,1.1987
64,1.1698
65,0.9224
66,1.6899
67,1.8994
68,0.9582
69,1.3383
70,0.1313
71,1.4130
72,1.3043
73,1.9962
74,1.6538
75,0.5792
76,0.7816
77,1.3473
78,0.0551
79,0.9334
80,0.3461
81,0.2442
82,0.1279
83,1.5465
84,0.2687
85,0.5052
86,0.7919
87,1.7528
88,0.1712
89,0.9084
90,1.1089
91,1.7768
92,1.6486
93,1.7380
94,0.5668
95,0.8406
96,0.7275
97,1.7784
98,1.9255
99,0.3118
100,0.3624
101,0.4739
102,0.4767
103,0.9799
104,1.1882
105,0.5355
106,0.0182
107,0.8479
108,0.7485
109,1.1427
110,1.9162
111,1.3910
112,1.0410
113,1.2452
114,1.3624
115,0.1180
116,1.8091
117,1.5699
118,1.7590
119,1.6057
120,0.7948
121,0.8080
122,0.2171
123,1.2786
124,0.1345
125,0.1447
126,0.4275
127,0.3346
128,0.6901
129,0.1152
130,0.0105
131,0.3125
132,0.2129
133,0.7372
134,0.0610
135,1.7587
136,1.2381
137,0.3071
138,0.5145
139,0.7048
140,0.7383
141,0.2557
142,1.7079
143,1.9962
144,0.9420
145,0.9777
146,0.1818
147,0.2144
148,0.6953
149,0.5395
150,1.6677
151,0.3329
152,0.0562
153,1.9120
154,1.0665
155,0.3032
156,1.0963
157,0.0641
158,1.0662
159,1.9670
160,1.7367
161,1.4024
162,0.5322
163,0.7434
164,0.3441
165,1.5539
166,1.0752
167,1.5681
168,0.6693
169,0.4561
170,1.6330
171,1.9799
172,1.7153
173,1.6222
174,1.6467
175,1.4897
176,0.4635
177,1.0453
178,0.7211
179,0.0680
180,0.0659
181,0.5688
182,0.5283
183,1.3950
184,1.9230
185,0.9045
186,1.8840
187,1.9861
188,1.9200
189,0.7393
190,0.4509
191,0.4637
192,0.4034
193,0.4187
194,1.2581
195,1.8106
196,1.6909
197,0.9689
198,1.3160
199,1.6093
200,0.1796
201,1.3312
