user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m
0,639.4267984578837,25.010755222666937,0.6577,0.00022166558855921036,3,116.90578179116405
1,275.02931836911927,223.21073814882274,0.3117,0.00010505270481056084,1,101.3355023121089
2,736.4712141640124,676.6994874229113,1.3119,0.0004421515670226974,13,63.26915885634183
3,892.1795677048455,86.93883262941615,0.1549,5.2206172522155525e-05,4,38.8562945080291
4,421.9218196852704,29.797219438070343,1.0818,0.0003646006290152863,2,123.12502454002744
5,218.63797480360336,505.3552881033624,0.7414,0.0002498751214197941,11,144.68806526071353
6,26.535969683863627,198.8376506866485,0.126,4.2465963446039996e-05,0,104.15835256576271
7,649.8844377795232,544.9414806032166,1.0249,0.00034542353917338403,13,94.45070727463941
8,220.4406220406967,589.2656838759087,0.085,2.864767375328095e-05,11,87.2160304653208
9,809.4304566778267,6.498759678061017,0.8773,0.0002956776962794515,4,149.14887239072567
10,805.8192518328079,698.1393949882269,0.1497,5.0453608951366565e-05,14,119.24506037809664
11,340.25051651799185,155.47949981178155,0.1914,6.450782066327027e-05,1,50.48865207887339
12,957.2130722067812,336.59454511262675,0.859,0.00028951002063609807,9,68.90801547312495
13,92.7458433801479,96.71637683346401,1.6637,0.0005607192332156884,0,29.199077514400265
14,847.4943663474597,603.7260313668911,0.2576,8.681930304523732e-05,14,56.65177231700055
15,807.1282732743801,729.7317866938179,0.4565,0.00015385485962791476,14,139.97822962545845
16,536.2280914547007,973.1157639793706,1.2649,0.0004263110885944126,17,104.59052419653379
17,378.5343772083535,552.040631273227,1.9054,0.0006421797361117826,11,107.19476614328323
18,829.4046642529948,618.5197523642461,1.1642,0.0003923720209831727,14,70.89213664894773
19,861.7069003107772,577.352145256762,0.8034,0.00027077107168689313,14,61.12838575851208
20,704.5718362149235,45.82438365566222,1.9625,0.0006614242322448689,3,79.30750222949816
21,227.89827565154687,289.38796360210716,0.1032,3.478164625104228e-05,6,111.928903462039
22,79.79197692362749,232.79088636103018,1.7269,0.0005820196212298926,0,109.66877121200787
23,101.00142940972911,277.97360311009214,0.5892,0.0001985789338286251,5,97.03156473179536
24,635.6844442644002,364.8321789700842,0.2985,0.00010060388959240427,8,65.1143247993515
25,370.18096711688264,209.50703077148768,0.2456,8.27749255741859e-05,1,109.84901636006637
26,266.97782204911334,936.6545877124939,0.627,0.00021131872286243712,16,69.94106392254577
27,648.0353852465936,609.1310056669882,1.6423,0.0005535067600589801,13,54.333655938203734
28,171.13864819809697,729.1267979503492,0.3715,0.0001252071858746338,10,126.10748319923546
