user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,second_nearest_gpu_id,second_nearest_distance_m
0,134.36424411240122,847.4337369372327,,,0,366.1718580146029,1,706.9070557643807
1,763.7746189766141,255.0690257394217,,,1,245.31800235650658,0,569.1709244654027
2,495.43508709194094,449.49106478873813,,,0,250.5783999310477,1,259.52735389562145
3,651.592972722763,788.7233511355132,,,1,305.0329761000665,0,494.60902663743076
4,93.8595867742349,28.34747652200631,,,0,496.8258563576095,1,808.0695172887275
5,835.7651039198697,432.76706790505335,,,1,108.97669571275209,0,589.6109090988222
6,762.280082457942,2.1060533511106927,,,1,498.0453619247758,0,714.3733372633128
7,445.38719405480145,721.5400323407825,,,0,295.39150551456896,1,376.6549448439011
8,228.76222127045264,945.2706955539223,,,0,445.7768898949776,1,685.5325041848755
9,901.4274576114835,30.589983033553537,,,1,493.23020887524433,0,802.9343040116051
