user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,second_nearest_gpu_id,second_nearest_distance_m,segment
0,239.48110282866594,104.41699401732383,1.0,3.7037037037037037e-05,1,45.880853673541935,0,147.34543248088056,campus
1,227.6808851247186,153.83360982338797,1.0,3.7037037037037037e-05,1,60.41933880185515,0,137.26209624898857,campus
2,123.89933554450442,193.10397489847588,1.0,3.7037037037037037e-05,0,74.81783577289404,1,170.99363188169303,campus
3,55.66909885675514,72.47334588328167,1.0,3.7037037037037037e-05,0,64.53081879547894,1,230.94319015544127,campus
4,117.71516102585758,71.78430741165391,1.0,3.7037037037037037e-05,0,58.195868581896356,1,171.29442180419355,campus
5,119.00961871525848,217.78560651328127,1.0,3.7037037037037037e-05,0,96.48564384894547,4,158.4404434930103,campus
6,139.13355288683607,231.6885132184192,1.0,3.7037037037037037e-05,0,116.2776626392612,4,149.59412093409608,campus
7,557.8131675716087,106.72035634735856,1.0,3.7037037037037037e-05,2,91.88659441560688,3,98.63351532258324,campus
8,120.32879382927592,101.74023987412961,1.0,3.7037037037037037e-05,0,35.29475747876187,1,161.93457900705997,campus
9,175.21059634457072,125.58372879843033,1.0,3.7037037037037037e-05,0,81.67370871577556,1,105.4172305176736,campus
10,113.84052799130669,636.7727072651139,1.0,3.7037037037037037e-05,8,24.193418901432988,9,167.30240963849985,campus
11,170.38657511618644,111.94667804289378,1.0,3.7037037037037037e-05,0,77.89982179540549,1,110.97550854443853,campus
12,238.24448176033434,52.58288421298076,1.0,3.7037037037037037e-05,1,83.66653328880682,0,161.6880060370449,campus
13,282.0344999789003,103.81405725448793,1.0,3.7037037037037037e-05,1,20.95535922036873,2,186.84614008038795,campus
14,182.67547035557757,301.31863522949436,1.0,3.7037037037037037e-05,4,115.11549330330378,5,122.06831896371759,campus
15,549.7785013212423,129.9491550177687,1.0,3.7037037037037037e-05,2,82.23762481817207,3,105.14156114458797,campus
16,209.5889954712998,71.75104760365642,1.0,3.7037037037037037e-05,1,88.61110330176325,0,127.56546922081873,campus
17,123.65775155205529,296.9320570024744,1.0,3.7037037037037037e-05,4,82.89773294633852,0,174.8237005585052,campus
18,265.02908201512594,609.6292546781725,1.0,3.7037037037037037e-05,9,20.94421186555558,8,172.05656701750894,campus
19,220.59868589750758,200.18447601491195,1.0,3.7037037037037037e-05,1,96.4244432836482,0,147.77734441606688,campus
20,155.84191233094094,147.02343203787217,1.0,3.7037037037037037e-05,0,66.1718011924683,1,126.75962696715129,campus
21,139.8692622434558,145.43869544335945,1.0,3.7037037037037037e-05,0,50.74891808696289,1,142.27145483691552,campus
22,368.3421452504498,208.9195516098328,1.0,3.7037037037037037e-05,1,121.5880834531413,2,130.24074314191208,campus
23,119.19544963666051,115.26464380887482,1.0,3.7037037037037037e-05,0,27.34169750513841,1,161.7056429509413,campus
24,147.39106692284255,615.6407486970592,1.0,3.7037037037037037e-05,8,54.436062665638026,9,133.47133583246506,campus
25,251.12703144997147,27.659599058417356,1.0,3.7037037037037037e-05,1,101.44546246720166,0,185.07920758292698,campus
26,228.25619209500047,188.33966715350715,1.0,3.7037037037037037e-05,1,82.39925850731673,0,148.98081932071196,campus
27,159.67319197882512,391.4148661183373,1.0,3.7037037037037037e-05,4,68.34428814695052,5,122.17489062233268,campus
28,276.3299629683378,102.10147256279348,1.0,3.7037037037037037e-05,1,23.024458423023486,0,184.18287216356086,campus
29,495.5294392999805,406.06733290824684,1.0,3.7037037037037037e-05,6,42.329542842353746,7,162.42429468885055,campus
30,81.59861542480205,118.02215001226782,1.0,3.7037037037037037e-05,0,13.69371221250011,1,199.13842305965247,campus
31,351.6581669735523,427.90206329694126,1.0,3.7037037037037037e-05,5,89.06964842986474,6,127.88652964179663,campus
32,612.2539765205845,404.3665267892219,1.0,3.7037037037037037e-05,7,52.1670827951541,6,147.6680937452396,campus
33,92.28691847687077,219.80781595833236,1.0,3.7037037037037037e-05,0,95.094178437635,4,154.36302056198912,campus
34,249.87402021033324,74.95275979173256,1.0,3.7037037037037037e-05,1,58.50255168797318,0,164.0635422703454,campus
35,454.54190527896105,53.77407876590104,1.0,3.7037037037037037e-05,2,72.15898731652868,1,187.83217828444492,campus
