request_id,actual_best_gpu,actual_best_ttft_ms,model_gpu,model_actual_ttft_ms,model_regret_ms,model_top1_correct,pressure_gpu,pressure_actual_ttft_ms,pressure_regret_ms,pressure_top1_correct,model_spearman,pressure_spearman
49,8,698.871839,0,966.979755,268.10791599999993,0,5,702.688432,3.8165930000000117,0,-0.09999999999999999,0.8499999999999999
51,1,706.144172,3,713.85884,7.714667999999961,0,5,706.463506,0.3193340000000262,0,0.21666666666666667,0.15
67,7,702.809088,8,858.667708,155.85861999999997,0,7,702.809088,0.0,1,0.19999999999999998,0.5666666666666667
82,7,709.719824,0,714.47495,4.755126000000018,0,6,935.779183,226.05935899999997,0,-0.15,0.39999999999999997
84,2,707.709131,3,711.246485,3.5373540000000503,0,6,721.32736,13.618229000000042,0,0.06666666666666667,0.049999999999999996
90,5,703.691106,0,708.635855,4.944749000000002,0,5,703.691106,0.0,1,0.5666666666666667,0.7
154,6,712.556975,1,902.050874,189.49389900000006,0,1,902.050874,189.49389900000006,0,-0.21666666666666667,0.016666666666666666
156,6,723.91462,6,723.91462,0.0,1,1,860.987919,137.07329900000002,0,0.18333333333333335,0.16666666666666669
161,1,719.130084,2,720.477088,1.34700399999997,0,2,720.477088,1.34700399999997,0,-0.11666666666666665,0.6333333333333333
165,1,719.700483,7,729.728369,10.02788600000008,0,7,729.728369,10.02788600000008,0,0.6333333333333333,0.7333333333333334
173,2,709.963438,1,1267.704366,557.7409279999999,0,2,709.963438,0.0,1,0.18333333333333335,0.26666666666666666
175,9,715.326283,2,715.51331,0.18702700000005734,0,2,715.51331,0.18702700000005734,0,0.8333333333333333,0.4666666666666666
197,9,717.261824,8,866.425608,149.16378399999996,0,9,717.261824,0.0,1,0.3,0.26666666666666666
203,9,714.564416,9,714.564416,0.0,1,9,714.564416,0.0,1,0.9047619047619048,0.5952380952380953
205,2,718.892261,9,726.075858,7.183597000000077,0,9,726.075858,7.183597000000077,0,0.5333333333333333,0.6833333333333333
263,0,712.109632,0,712.109632,0.0,1,0,712.109632,0.0,1,0.75,0.5166666666666667
265,2,723.827277,0,726.615819,2.7885420000000067,0,2,723.827277,0.0,1,0.15,0.6333333333333333
267,2,721.833155,4,738.293583,16.46042799999998,0,0,940.58957,218.75641499999995,0,0.2333333333333333,0.35
