request_id,candidates,predicted_min_ms,predicted_max_ms,scheduler_raw_min_ms,scheduler_raw_max_ms,zero_scheduler_candidates,pressure_top1_gpu,model_top1_gpu,predicted_range_ms,top1_agrees
49,9,727.7915465989465,828.0307850159228,-18.386924949547364,100.23923841697624,7,5,0,100.23923841697626,False
51,9,727.7915465989465,1247.692792350512,-5.107351009366812,519.9012457515439,3,5,3,519.9012457515655,False
67,9,727.7915465989465,852.0970098646659,-2.2583780470787422,124.30546325943418,1,7,8,124.30546326571937,False
82,9,727.7915465989465,831.8951428118463,-11.733846036748757,104.10359621289932,6,6,0,104.10359621289979,False
84,9,727.7915465991445,1132.7876733778808,-2.187246956824026,404.9961267789344,1,6,3,404.9961267787363,False
90,9,727.7915465989465,820.8159444740745,-22.53509647618269,93.0243978748911,8,5,0,93.02439787512799,False
154,9,727.7915465989465,839.0875368865704,-20.752691087839978,111.29456771031909,5,1,1,111.29599028762391,True
156,9,727.7915465989474,839.0219757428439,-18.772993640473423,111.2290863804391,4,1,6,111.23042914389646,False
161,9,727.7915465989469,825.4757883495807,-9.970905852076008,97.68424175063214,6,2,2,97.68424175063387,True
165,9,727.791546598948,1352.9944672560814,-3.1880901110913955,625.2028092998195,2,7,7,625.2029206571334,True
173,9,727.7915465989465,931.13706689118,-16.341881722364633,203.3455194463467,6,2,1,203.34552029223346,False
175,9,727.7915465989465,1241.5933076697577,-2.862299275514247,513.8017610706935,2,2,2,513.8017610708112,True
197,9,727.7915465989465,825.3913007499414,-17.817038340703807,97.59965398959936,8,9,8,97.59975415099484,False
203,8,727.7915465989465,943.1644956543864,-12.905699636944671,215.29169971968912,5,9,9,215.3729490554399,True
205,9,727.7915465989465,940.830485317988,-17.47854566289456,213.02987317213027,5,9,9,213.03893871904143,True
263,9,727.7915465989465,851.0060469152799,-7.930058942966636,123.21437659122556,3,0,0,123.21450031633333,True
265,9,727.7915465989465,948.5434739661384,-14.417331146150666,220.7519267913165,4,2,0,220.7519273671919,False
267,9,727.7915489382884,1131.2747419528755,-4.216723506847183,403.4831953539291,1,0,4,403.4831930145871,False
