variant,request_id,chosen_gpu,top1_correct,regret_ms,spearman,lambda_used
formula_only_clipped,49,0,0,268.10791599999993,-0.09999999999999999,
formula_only_clipped,51,3,0,7.714667999999961,0.21666666666666667,
formula_only_clipped,67,8,0,155.85861999999997,0.19999999999999998,
formula_only_clipped,82,0,0,4.755126000000018,-0.15,
formula_only_clipped,84,3,0,3.5373540000000503,0.06666666666666667,
formula_only_clipped,90,0,0,4.944749000000002,0.5666666666666667,
formula_only_clipped,154,1,0,189.49389900000006,-0.21666666666666667,
formula_only_clipped,156,6,1,0.0,0.18333333333333335,
formula_only_clipped,161,2,0,1.34700399999997,-0.11666666666666665,
formula_only_clipped,165,7,0,10.02788600000008,0.6333333333333333,
formula_only_clipped,173,1,0,557.7409279999999,0.18333333333333335,
formula_only_clipped,175,2,0,0.18702700000005734,0.8333333333333333,
formula_only_clipped,197,8,0,149.16378399999996,0.3,
formula_only_clipped,203,9,1,0.0,0.9047619047619048,
formula_only_clipped,205,9,0,7.183597000000077,0.5333333333333333,
formula_only_clipped,263,0,1,0.0,0.75,
formula_only_clipped,265,0,0,2.7885420000000067,0.15,
formula_only_clipped,267,4,0,16.46042799999998,0.2333333333333333,
formula_unclipped,49,3,0,13.745897000000014,0.5833333333333334,
formula_unclipped,51,3,0,7.714667999999961,0.21666666666666667,
formula_unclipped,67,8,0,155.85861999999997,0.19999999999999998,
formula_unclipped,82,6,0,226.05935899999997,-0.5499999999999999,
formula_unclipped,84,3,0,3.5373540000000503,0.06666666666666667,
formula_unclipped,90,3,0,162.26438900000005,0.16666666666666669,
formula_unclipped,154,1,0,189.49389900000006,-0.21666666666666667,
formula_unclipped,156,6,1,0.0,0.18333333333333335,
formula_unclipped,161,9,0,14.517367000000036,-0.31666666666666665,
formula_unclipped,165,9,0,13.180164999999988,0.6,
formula_unclipped,173,1,0,557.7409279999999,0.15,
formula_unclipped,175,9,1,0.0,0.8499999999999999,
formula_unclipped,197,8,0,149.16378399999996,-0.15,
formula_unclipped,203,9,1,0.0,0.7857142857142858,
formula_unclipped,205,9,0,7.183597000000077,0.35,
formula_unclipped,263,0,1,0.0,0.75,
formula_unclipped,265,0,0,2.7885420000000067,0.09999999999999999,
formula_unclipped,267,4,0,16.46042799999998,0.2333333333333333,
pressure,49,5,0,3.8165930000000117,0.8499999999999999,
pressure,51,5,0,0.3193340000000262,0.15,
pressure,67,7,1,0.0,0.5666666666666667,
pressure,82,6,0,226.05935899999997,0.39999999999999997,
pressure,84,6,0,13.618229000000042,0.049999999999999996,
pressure,90,5,1,0.0,0.7,
pressure,154,1,0,189.49389900000006,0.016666666666666666,
pressure,156,1,0,137.07329900000002,0.16666666666666669,
pressure,161,2,0,1.34700399999997,0.6333333333333333,
pressure,165,7,0,10.02788600000008,0.7333333333333334,
pressure,173,2,1,0.0,0.26666666666666666,
pressure,175,2,0,0.18702700000005734,0.4666666666666666,
pressure,197,9,1,0.0,0.26666666666666666,
pressure,203,9,1,0.0,0.5952380952380953,
pressure,205,9,0,7.183597000000077,0.6833333333333333,
pressure,263,0,1,0.0,0.5166666666666667,
pressure,265,2,1,0.0,0.6333333333333333,
pressure,267,0,0,218.75641499999995,0.35,
guardrail_clipped,49,5,0,3.8165930000000117,0.8666666666666667,51200.0
guardrail_clipped,51,5,0,0.3193340000000262,0.16666666666666669,51200.0
guardrail_clipped,67,7,1,0.0,0.5666666666666667,51200.0
guardrail_clipped,82,6,0,226.05935899999997,0.33333333333333337,51200.0
guardrail_clipped,84,7,0,16.065274000000045,0.38333333333333336,3200.0
guardrail_clipped,90,5,1,0.0,0.7166666666666667,51200.0
guardrail_clipped,154,1,0,189.49389900000006,0.016666666666666666,51200.0
guardrail_clipped,156,6,1,0.0,0.3,51200.0
guardrail_clipped,161,2,0,1.34700399999997,0.6333333333333333,51200.0
guardrail_clipped,165,7,0,10.02788600000008,0.7666666666666667,51200.0
guardrail_clipped,173,2,1,0.0,0.26666666666666666,51200.0
guardrail_clipped,175,2,0,0.18702700000005734,0.4666666666666666,51200.0
guardrail_clipped,197,9,1,0.0,0.26666666666666666,51200.0
guardrail_clipped,203,9,1,0.0,0.5952380952380953,51200.0
guardrail_clipped,205,9,0,7.183597000000077,0.6833333333333333,51200.0
guardrail_clipped,263,0,1,0.0,0.5166666666666667,51200.0
guardrail_clipped,265,2,1,0.0,0.6333333333333333,51200.0
guardrail_clipped,267,2,1,0.0,0.45,51200.0
