user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,second_nearest_gpu_id,second_nearest_distance_m
0,28.257862311557115,788.6419844528198,1.0,5e-05,5,108.51537945205608,6,320.7616241202097
1,642.7399422375724,127.42306786357035,1.0,5e-05,2,173.55880680049387,3,221.33265613199367
2,1003.1060705148451,403.8365714351545,1.0,5e-05,4,121.0086576038479,3,236.91739354171744
3,1064.6886881057974,18.248226707968307,1.0,5e-05,4,269.56359347973864,3,377.1435826756412
4,432.81459231565356,848.2397640269236,1.0,5e-05,6,91.02324552093842,7,137.44601308194024
5,689.9727587560387,102.01856789141299,1.0,5e-05,3,212.59042095811168,2,218.7936939030549
6,366.0339636313196,808.9004776731934,1.0,5e-05,6,52.08088200331986,7,209.22534797824775
7,1120.796659470087,762.3157755987179,1.0,5e-05,9,132.5566654740894,8,335.75763971354354
8,288.15201625829616,69.3522258443957,1.0,5e-05,1,222.32443710297542,0,277.21055965699696
9,883.8522191882488,1049.5258266295837,1.0,5e-05,8,212.45861055450115,9,240.91498355984007
10,476.69545944741975,26.85432052214165,1.0,5e-05,2,274.56137621971004,1,291.1881325860954
11,918.7833961372955,153.85416269657742,1.0,5e-05,4,169.52880593562648,3,178.24061194886957
12,615.9196832705144,660.5894605840408,1.0,5e-05,7,199.86795996044773,8,266.54194180052997
13,680.1384395218233,130.4895898038458,1.0,5e-05,2,189.7318734200756,3,194.44107083707365
14,51.878633665510236,851.2458384636888,1.0,5e-05,5,62.260283430200396,6,290.20000967531803
15,316.8144600179253,839.8016390615636,1.0,5e-05,6,29.529169407326087,5,203.3755061389726
16,940.6624878964172,1131.5071443454342,1.0,5e-05,9,289.29728871575594,8,310.9678794717093
17,166.56228224641686,1011.0633909821545,1.0,5e-05,5,164.5469016281647,6,234.7585875939633
18,1091.0211026997042,88.85449249243003,1.0,5e-05,4,206.63374309252006,3,352.53323759545253
19,327.7593274473925,363.5900950238978,1.0,5e-05,1,79.83614500260381,0,227.71706622449733
20,165.1052668217977,42.13533415486739,1.0,5e-05,0,248.22269375270528,1,300.5244059639573
21,1111.6370218005097,384.97655673150774,1.0,5e-05,4,131.50371804962583,3,329.05579073435223
22,1103.591451527352,33.300732705620625,1.0,5e-05,4,263.3829111063493,3,395.83544411187387
23,300.1082617797736,306.8937901808633,1.0,5e-05,1,47.294285382772024,0,187.36908872616578
24,62.58385644489752,554.9363149885013,1.0,5e-05,0,274.749637548023,5,304.56955607513765
25,551.1282294798756,143.31372206333376,1.0,5e-05,2,142.9926324740748,1,252.5866945712042
26,1136.8562508730608,995.2650898521207,1.0,5e-05,9,178.5820048502748,8,366.57571673893693
27,900.4382029771516,112.76741525177583,1.0,5e-05,3,200.36869594651614,4,213.27121224702688
28,581.7102215472643,978.5826791275987,1.0,5e-05,7,123.99701347413782,8,249.14770658314163
29,760.7069213732096,502.1087743725767,1.0,5e-05,3,220.26603564855304,2,288.8820891667601
30,1036.8237018258035,733.4532336802316,1.0,5e-05,9,122.14490142217412,8,267.924875545873
31,23.83433446919894,416.52357371565046,1.0,5e-05,0,159.43627915516845,1,344.3106128725852
32,308.8253211197283,994.8739333176583,1.0,5e-05,6,143.63837344332657,5,239.74569660594568
33,171.7088315174752,175.49175935146832,1.0,5e-05,0,123.81416222569065,1,202.53066627097294
34,92.22921403333928,912.6808051627507,1.0,5e-05,5,61.53572832863692,6,256.3662468698386
35,411.6217936523124,769.8082954394104,1.0,5e-05,6,110.09055298304041,7,179.9764107683939
36,1057.06264674065,570.1257195878752,1.0,5e-05,9,286.67653993004285,4,286.75211112966366
37,986.3530481791307,950.6788156364794,1.0,5e-05,9,103.50701046688707,8,211.09216853777545
38,964.3440798678029,18.155424582720105,1.0,5e-05,4,273.95324633581646,3,314.4184308528623
39,851.6676685048924,198.24375958056316,1.0,5e-05,3,101.98681282217358,4,194.88738183197535
40,1041.713252617939,1025.6003981411238,1.0,5e-05,9,171.17707587571533,8,297.3145330443604
41,664.649825744858,676.54499718229,1.0,5e-05,7,202.07710613234875,8,222.95335336912956
42,399.65061255174106,362.8928515307457,1.0,5e-05,1,96.84004306565113,2,187.3746811018828
43,581.1132677446931,309.6353284962424,1.0,5e-05,2,26.95001620369572,3,218.39843529832729
44,850.3720376016723,295.2125974646497,1.0,5e-05,3,53.229563039131,4,176.0797165927243
45,693.6803310988513,118.03342644674775,1.0,5e-05,3,196.97896454646263,2,207.76818580142148
46,303.44653325812567,965.2061054348719,1.0,5e-05,6,116.64833528571782,5,219.08844366124492
47,552.0882229665511,60.119102829143806,1.0,5e-05,2,225.64380412019165,1,307.7435556808257
48,1004.1362208067355,1106.4021585054154,1.0,5e-05,9,252.23374640664338,8,324.92836101614074
49,1.521267543755095,345.1204553988629,1.0,5e-05,0,127.53277870248415,1,345.790116828432
50,675.6109899578913,670.2702786596841,1.0,5e-05,7,212.85877636672595,8,221.77204423818753
51,1089.353966978649,857.2374273252498,1.0,5e-05,9,63.23116100611373,8,291.2387829179115
52,325.0916566540679,376.09751545404646,1.0,5e-05,1,92.61988654159883,0,229.87616342646882
53,126.32105670983742,946.390002087642,1.0,5e-05,5,92.08408170437384,6,234.2396471353501
54,1011.1670233648593,681.6296088179394,1.0,5e-05,9,174.14837348178727,8,274.75584119515173
