user_id,user_x_m,user_y_m,request_weight,request_probability,is_daily_active,assigned_gpu_id,distance_to_gpu_m,second_nearest_gpu_id,second_nearest_distance_m
0,82.19851489678518,2294.058877934395,1.0,5e-05,True,10,333.3882473457993,15,657.1768794793767
1,1869.6484586934307,370.6574413342663,0.0,0.0,False,2,215.85169884450175,3,454.11780955287287
2,2917.9075321117816,1174.709044406482,0.0,0.0,False,9,96.2332002227085,8,600.2521233713178
3,3097.0435068582724,53.08176246160609,1.0,5e-05,True,4,378.47297865946825,3,855.5315916069483
4,1259.002408666059,2467.4212122159133,0.0,0.0,False,11,474.71927793748876,16,508.53044402813873
5,2007.0426935935843,296.7589933064867,0.0,0.0,False,3,335.9332396497054,2,368.09531734485506
6,1064.746083074124,2352.9882491090943,0.0,0.0,False,11,288.65380842800107,16,553.4721690518004
7,3260.2544344637095,2217.4792964072835,0.0,0.0,False,14,310.95284988994985,19,737.8470516120253
8,838.1974382846043,201.73677351610124,0.0,0.0,False,1,264.3568298282473,0,549.4352506780799
9,2571.0132990416764,3052.9366780688674,0.0,0.0,False,18,291.47238354337026,19,440.59229770212244
10,1386.6462506115672,78.11579096623707,0.0,0.0,False,2,432.4458101224908,1,516.3366254539505
11,2672.6236344998592,447.5421227873538,0.0,0.0,False,4,314.07336072241986,3,352.5308447558427
12,1791.6317484436354,1921.5704294188154,0.0,0.0,False,12,201.6725362851002,13,551.1839103795439
13,1978.4359141011814,379.5775622765344,0.0,0.0,False,2,322.0312173136211,3,344.981543549105
14,150.908324032538,2476.1654990854204,0.0,0.0,False,10,441.9307573590885,15,462.65198006195726
15,921.5728289768635,2442.875783654518,0.0,0.0,False,11,377.1986469596753,16,465.0028251037685
16,2736.2671199858355,3291.4098679806307,0.0,0.0,False,19,462.0097199673087,18,568.789527519652
17,484.5084206130877,2941.054361753708,0.0,0.0,False,15,157.74498467650926,16,511.9672104872236
18,3173.6411400904344,258.4663781095066,0.0,0.0,False,4,244.88889268695252,3,866.1878099625537
19,953.4100514293367,1057.6371812075172,0.0,0.0,False,6,190.68512075276573,1,644.4017865227607
20,480.2701487026035,122.566309299107,0.0,0.0,False,0,327.65091894901343,1,591.781017088451
21,3233.610217532835,1119.847668748308,0.0,0.0,False,9,277.801507862829,4,747.817456045947
22,3210.2066804690708,96.86758124861089,0.0,0.0,False,4,389.45474550023783,3,943.6606499351074
23,872.9766305239565,892.7148666017581,0.0,0.0,False,6,371.6198016886256,1,493.4586159468651
24,182.04845078391577,1614.2389134543082,0.0,0.0,False,5,399.57230724942735,10,482.43717700978357
25,1603.161678737902,416.88132626786586,0.0,0.0,False,2,55.1987896662366,1,608.1786029124829
26,3306.969736159894,2895.0991201128754,0.0,0.0,False,19,322.0823658649084,14,883.0151791177605
27,2619.259809004759,328.02601839609156,0.0,0.0,False,3,309.9522363066594,4,375.8052458665338
28,1692.120790464358,2846.5721165011023,0.0,0.0,False,17,64.96488335964553,18,631.9561150095683
29,2212.799344804288,1460.570340212565,0.0,0.0,False,8,242.618181482141,7,595.3768950922902
30,3015.987818194307,2133.5218457095543,0.0,0.0,False,14,68.10831733587469,13,696.9926319435356
31,69.3310369808173,1211.6139147909053,0.0,0.0,False,5,264.2905681331624,0,839.0970608169746
32,898.3334435804902,2893.961295677662,1.0,5e-05,True,16,96.99158773388056,15,566.7286437836843
33,499.47907558549554,510.48312983728414,0.0,0.0,False,0,193.28782956239723,1,504.70418198850024
34,268.2830123543227,2654.8719762321725,0.0,0.0,False,15,255.1711125787362,10,585.4224137239685
35,1197.3552622037184,2239.274080349158,0.0,0.0,False,11,261.9851798293432,12,490.0662978162002
36,3074.8603258431895,1658.422952801272,0.0,0.0,False,14,424.1049347737533,9,424.32102796939057
37,2869.1751283352514,2765.403338991894,0.0,0.0,False,19,179.10353861615732,18,564.3305954384907
38,2805.1538485351284,52.81181292364873,0.0,0.0,False,4,403.98753555245287,3,603.8733698439844
39,2477.392548836866,576.6657946525922,0.0,0.0,False,3,224.79346543281144,4,532.8221888544552
40,3030.2108973923937,2983.340660212403,0.0,0.0,False,19,93.03840003279733,18,713.2216883966308
41,1933.3815134448466,1967.9830489686315,0.0,0.0,False,12,294.39529860618774,13,402.17927489991166
42,1162.532624271019,1055.6089888755337,0.0,0.0,False,6,251.9176870861506,7,530.272300394018
43,1690.384328042242,900.6896516570533,0.0,0.0,False,7,344.540617566358,2,487.1684007652626
44,2473.623723901531,858.7357678677679,0.0,0.0,False,8,413.91270072721994,3,469.4421070386215
45,2017.8275483391942,343.3441728581686,0.0,0.0,False,3,312.04914639122586,2,366.50432133472117
46,882.6872361889365,2807.6613708889035,0.0,0.0,False,16,146.69670713591992,15,559.0499725018589
47,1605.9541772661096,174.87879709363727,0.0,0.0,False,2,245.35105098353023,1,656.304893183769
48,2920.9041078322048,3218.3826683360776,0.0,0.0,False,19,322.75672516049,18,677.6349263070853
49,4.42517312451504,1003.9113568292247,0.0,0.0,False,5,405.7083887674143,0,674.0904563972238
50,1965.2661411607453,1949.730693632375,0.0,0.0,False,12,330.7399863831872,13,377.05275124950646
51,3168.7916550553937,2493.594266373702,0.0,0.0,False,19,447.9136203104365,14,459.11315787195065
52,945.6501375679428,1094.0196709094168,0.0,0.0,False,6,157.6345082986171,5,631.9773049017504
53,367.4518315383869,2752.9277277621136,0.0,0.0,False,15,153.35365374525372,16,645.0096135875305
54,2941.3558151283346,1982.7735352647715,0.0,0.0,False,14,100.11290005171361,13,626.2364076297574
55,758.3747871514275,250.76007870060198,0.0,0.0,False,1,287.78792508769135,0,457.07738688875037
56,2340.5740760081635,1331.5592451323457,0.0,0.0,False,8,89.84331411764954,9,650.3456153699348
57,275.84752096563403,1354.530683521931,0.0,0.0,False,5,124.06106942681211,10,720.5248967345848
58,1834.6364076655723,3126.211943200194,0.0,0.0,False,17,285.2020641971192,18,536.115641481773
59,2384.992359324794,1568.1836918924218,1.0,5e-05,True,8,330.5771725953602,13,508.66768411253787
60,2650.406320597111,2505.0925951285058,0.0,0.0,False,18,515.4236981026445,19,519.1341499102117
61,1904.1047416017611,627.6367434199669,0.0,0.0,False,2,325.28120697377915,3,468.75096569335545
62,1178.045606380451,427.0854197618993,0.0,0.0,False,1,183.4849487442226,2,480.42962179637186
63,2930.4545112282353,1338.0736832114744,0.0,0.0,False,9,108.95421138234703,8,616.0829909657477
64,295.1887472497228,3050.4517447802964,0.0,0.0,False,15,152.82144133403978,16,715.3616331244355
65,2194.8527072808038,295.246583325523,0.0,0.0,False,3,174.11018648353087,2,549.6503589517617
66,1168.237633297009,1789.290677245531,0.0,0.0,False,11,332.33189213099314,12,566.2173860627859
67,2809.186091586891,644.106317760507,1.0,5e-05,True,4,289.10289297299437,3,538.8756587162065
68,996.667286131207,3045.439020384815,0.0,0.0,False,16,143.40216824814652,17,677.0048820286823
69,2266.235997208732,3157.065534126547,0.0,0.0,False,18,260.9672782449174,17,659.2463241989814
70,596.5489133815639,2968.9589160148566,0.0,0.0,False,15,273.20700738069854,16,404.01794882105025
71,1434.8260524423658,290.6973321313427,0.0,0.0,False,2,255.52414707469111,1,456.95125767361577
72,2006.84302178348,1297.9056271290594,0.0,0.0,False,8,319.4213583927261,7,352.7153679058891
73,2189.469889136565,1347.5116209458017,0.0,0.0,False,8,168.04157718615247,7,541.200532595837
74,2435.445098195058,1645.2880048560744,0.0,0.0,False,8,417.36984030714893,13,442.48852132908416
75,3037.0160155130807,2018.8675764859947,0.0,0.0,False,14,75.02042211257263,13,717.4155741526479
76,1405.0322725987082,3173.938024125118,0.0,0.0,False,17,371.5854103932695,16,491.99762584512445
77,2309.2151042638893,2267.0350416051137,0.0,0.0,False,13,194.54155763090932,18,635.1331418289458
78,1562.5173199447079,1812.2163393961835,0.0,0.0,False,12,277.7187629649401,7,576.4967733361783
79,2082.4811044581065,655.8708944821843,0.0,0.0,False,3,339.7321365229397,2,487.99724095882
80,1457.5676312984,752.584490776781,0.0,0.0,False,2,393.1243839370512,7,530.5907950315882
81,2181.2993495569494,1777.3598841498972,0.0,0.0,False,13,327.1591304275432,8,551.7708067662526
82,414.25306442097997,2352.7054382223187,0.0,0.0,False,10,291.7492207702508,15,555.5150919768025
83,512.8671407162494,45.112501593702454,0.0,0.0,False,0,411.5093643280878,1,607.4082710224034
84,3281.362979050767,2802.900129525393,0.0,0.0,False,19,312.543431533608,14,787.8879513179157
85,3115.5248530963236,1381.6116770102565,1.0,5e-05,True,9,189.8861485303452,14,703.5005189019632
86,694.6765011045469,2980.4408169218077,0.0,0.0,False,16,310.374446714821,15,371.38230855791636
87,3232.5908250723865,2588.8037907363914,0.0,0.0,False,19,399.3006332831005,14,572.2642838771778
88,2076.4517906055335,433.0707464004143,0.0,0.0,False,3,245.88195977778585,2,418.5481239048064
89,2279.0886841102747,908.3676591860961,0.0,0.0,False,8,338.0549816086167,3,495.6193289181304
90,101.2585760527324,381.03790893618924,0.0,0.0,False,0,232.83234922458158,5,892.9339367635007
91,2325.247843335213,1564.6575880418907,0.0,0.0,False,8,320.94360060245026,13,508.24573024173526
92,1159.8232820116339,3077.783259286777,0.0,0.0,False,16,240.94438570258325,17,528.5591141784774
93,1966.3332065924917,2391.8968201504267,0.0,0.0,False,12,443.4431828390234,13,477.4998144218804
94,1273.6735517990169,919.6549616735731,0.0,0.0,False,6,427.42644479281665,7,502.9656598830324
95,3091.9115858499554,2431.9427171067437,0.0,0.0,False,14,374.64202415162345,19,482.11605876612145
96,482.92120518044976,2212.409082025653,0.0,0.0,False,10,205.7781296625829,11,530.7327597685265
97,2994.8197141897435,2186.22697134279,0.0,0.0,False,14,113.76434192720676,13,682.6563177652725
98,2376.2687739901744,621.8918916066588,0.0,0.0,False,3,214.39123308199206,8,624.2375897930117
99,1758.688679882933,352.18569985852815,1.0,5e-05,True,2,118.1871819454295,3,566.3956393629309
100,1386.3302146869664,2136.932063023829,0.0,0.0,False,12,279.4201658275548,11,396.54822169681285
101,405.5786415792551,118.07579183998051,0.0,0.0,False,0,305.5768595860893,1,659.7850758196389
102,1042.4822608905579,1709.0554948438833,0.0,0.0,False,11,366.92187843860586,6,467.73879037672737
103,2550.3153891463485,1819.1461518665417,0.0,0.0,False,13,341.58430182396404,14,503.29329233112367
104,2355.9927603820083,2092.7337534158087,0.0,0.0,False,13,39.674285685305136,14,629.2824889922745
105,280.62961532036377,1905.4343606805526,0.0,0.0,False,10,175.05973196579694,5,663.6650723595396
106,2305.999820217024,1619.3633975581088,0.0,0.0,False,8,375.95445746623716,13,453.7966060043285
107,2294.8201586111722,249.16878440148238,0.0,0.0,False,3,167.56909982504135,2,657.6491269659105
108,233.4334574327894,222.87294479853088,0.0,0.0,False,0,215.40614372302178,1,785.3122500162842
109,2227.92602051704,1948.9961595560485,0.0,0.0,False,13,155.3435546868989,12,582.9318041354651
110,57.872382325580396,702.150125636134,0.0,0.0,False,0,397.06257400855304,5,606.8561864728063
111,2156.9788543211757,2019.4692406029994,0.0,0.0,False,13,173.1076300473789,12,501.51975812147214
112,1969.595033712385,565.6455757580003,0.0,0.0,False,2,346.0032711539814,3,383.08638365348577
113,159.72222771502527,3150.048866564414,0.0,0.0,False,15,301.77562663442205,16,871.3053705942716
114,1975.3910409547766,91.0834124505636,0.0,0.0,False,2,452.9764670493799,3,473.85158105667415
115,3117.889137141418,2533.159873360759,0.0,0.0,False,19,392.1058857819837,14,479.07978732753156
