user_id,user_x_m,user_y_m,request_weight,request_probability,is_daily_active,assigned_gpu_id,distance_to_gpu_m,second_nearest_gpu_id,second_nearest_distance_m
0,24.783784748825035,691.6847768265551,1.0,0.0005,True,5,95.17428376657095,6,281.3265547205769
1,563.7202206683996,111.75742351444818,0.0,0.0,False,2,152.22114332573247,3,194.1215809950901
2,879.7822233606072,354.18810346665816,0.0,0.0,False,4,106.13161355703325,3,207.79029991908263
3,933.79375196867,16.00475357235631,0.0,0.0,False,4,236.42291137462476,3,330.77680361585465
4,379.6035090635464,743.9554873349155,0.0,0.0,False,6,79.83266742749164,7,120.54812799529455
5,605.146141170378,89.47620308738236,0.0,0.0,False,3,186.45413352916896,2,191.89476381148174
6,321.03302314158634,709.4526507645609,0.0,0.0,False,6,45.67795521359481,7,183.5027692866259
7,983.0036982007693,668.5951642331132,0.0,0.0,False,9,116.2598864666494,8,294.47893045436365
8,252.72603663882808,60.82592583361945,0.0,0.0,False,1,194.9914304490858,0,243.12974438375883
9,775.1896767213677,920.4950427153152,0.0,0.0,False,8,186.33852815765437,9,211.2964183023788
10,418.0895754756082,23.552797166985663,0.0,0.0,False,2,240.80625680547095,1,255.38888681167336
11,805.826345588362,134.93902719680162,0.0,0.0,False,4,148.68659874938626,3,156.32735807594835
12,540.19729746145,579.3752838749376,0.0,0.0,False,7,175.2957970858469,8,233.7727475378223
13,596.5208726215841,114.4469411735477,0.0,0.0,False,2,166.4058611012235,3,170.53610046030155
14,45.50057168702737,746.5919890263142,0.0,0.0,False,5,54.60588086678582,6,254.52224568871512
15,277.8646627911475,736.5547621661316,0.0,0.0,False,6,25.89879483217117,5,178.37211858981183
16,825.015578470854,992.3974148513594,0.0,0.0,False,9,253.73050703193468,8,272.73687243756444
17,146.0847853583007,886.7612550886569,0.0,0.0,False,5,144.31717962510672,6,205.89690185047718
18,956.8888073559734,77.93054519194197,0.0,0.0,False,4,181.2297814387232,3,309.1921031053619
19,287.4639465404141,318.88960858131435,0.0,0.0,False,1,70.0209312050925,0,199.72107906526526
20,144.80689829588445,36.95513271670781,0.0,0.0,False,0,217.705704129803,1,263.5773402481699
21,974.9701645287199,337.64677632657634,0.0,0.0,False,4,115.33639048411493,3,288.60102006297933
22,967.9137326007486,29.206674668264434,0.0,0.0,False,4,231.00209433425402,3,347.1706505842783
23,263.21235765424365,269.163659753655,0.0,0.0,False,1,41.47983226235543,0,164.33356183753398
24,54.889673174157274,486.71134526535667,0.0,0.0,False,0,240.97137291319325,5,267.1251715924813
