condition,input_tokens,request_rate_rps,reuse_ratio,seed,requests,last_arrival_ns,workload
input4000_rate2p5_reuse00_seed1,4000,2.5,0.0,1,300,119604015193,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate2p5_reuse00_seed1.jsonl
input4000_rate2p5_reuse00_seed2,4000,2.5,0.0,2,300,123218785738,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate2p5_reuse00_seed2.jsonl
input4000_rate2p5_reuse00_seed3,4000,2.5,0.0,3,300,129824327927,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate2p5_reuse00_seed3.jsonl
input4000_rate2p5_reuse50_seed1,4000,2.5,0.5,1,300,119604015193,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate2p5_reuse50_seed1.jsonl
input4000_rate2p5_reuse50_seed2,4000,2.5,0.5,2,300,123218785738,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate2p5_reuse50_seed2.jsonl
input4000_rate2p5_reuse50_seed3,4000,2.5,0.5,3,300,129824327927,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate2p5_reuse50_seed3.jsonl
input4000_rate3p33_reuse00_seed1,4000,3.33,0.0,1,300,88537908557,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate3p33_reuse00_seed1.jsonl
input4000_rate3p33_reuse00_seed2,4000,3.33,0.0,2,300,82223657373,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate3p33_reuse00_seed2.jsonl
input4000_rate3p33_reuse00_seed3,4000,3.33,0.0,3,300,89273206935,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate3p33_reuse00_seed3.jsonl
input4000_rate3p33_reuse50_seed1,4000,3.33,0.5,1,300,88537908557,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate3p33_reuse50_seed1.jsonl
input4000_rate3p33_reuse50_seed2,4000,3.33,0.5,2,300,82223657373,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate3p33_reuse50_seed2.jsonl
input4000_rate3p33_reuse50_seed3,4000,3.33,0.5,3,300,89273206935,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate3p33_reuse50_seed3.jsonl
input4000_rate5p0_reuse00_seed1,4000,5.0,0.0,1,300,62169892143,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate5p0_reuse00_seed1.jsonl
input4000_rate5p0_reuse00_seed2,4000,5.0,0.0,2,300,58245946088,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate5p0_reuse00_seed2.jsonl
input4000_rate5p0_reuse00_seed3,4000,5.0,0.0,3,300,58303424450,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate5p0_reuse00_seed3.jsonl
input4000_rate5p0_reuse50_seed1,4000,5.0,0.5,1,300,62169892143,experiments/2026-07-16_ttft_component_regression/workloads/phase1/input4000_rate5p0_reuse50_seed1.jsonl
