user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,second_nearest_gpu_id,second_nearest_distance_m,segment
0,415.0302839640637,704.3006444426418,1.0,3.7037037037037037e-05,10,96.3634010577932,9,156.76740042600574,campus
1,206.14231457092487,497.8355641212151,1.0,3.7037037037037037e-05,5,144.36686765257633,9,146.17341041487865,campus
2,74.09156060030138,168.24116144561077,1.0,3.7037037037037037e-05,0,47.66783607352339,4,206.8410721046247,campus
3,202.34799261361152,275.9207476696553,1.0,3.7037037037037037e-05,5,125.61552126878716,4,146.59790349724977,campus
4,439.33522169409366,51.02602651930221,1.0,3.7037037037037037e-05,2,78.9686729590053,1,174.98639678864637,campus
5,419.23646647922095,651.1012582552632,1.0,3.7037037037037037e-05,10,55.72434523475331,9,141.31215380334507,campus
6,136.23431082135264,451.80279028612983,1.0,3.7037037037037037e-05,4,88.60131746553112,5,163.93895789271912,campus
7,404.24954524857316,211.94320273128267,1.0,3.7037037037037037e-05,2,107.86298700199565,1,151.29690569514534,campus
8,262.2991849069273,555.6127226545053,1.0,3.7037037037037037e-05,9,70.42286905478677,8,181.94160810844363,campus
9,101.71170610271793,237.27303335333335,1.0,3.7037037037037037e-05,0,112.84727755817546,4,137.13630484388554,campus
10,564.1900406293909,608.294237968948,1.0,3.7037037037037037e-05,11,91.88536117442634,10,97.69085374117576,campus
11,538.7893442281502,25.21177103089707,1.0,3.7037037037037037e-05,2,122.2904057991588,3,152.83465044252355,campus
12,313.8278668190431,413.6552712149502,1.0,3.7037037037037037e-05,5,51.593601961663225,6,158.86555371596583,campus
13,298.3314358282551,120.43403663833662,1.0,3.7037037037037037e-05,1,18.218902273984273,2,169.43000425751728,campus
14,365.5352837575379,10.741929629141731,1.0,3.7037037037037037e-05,1,142.1313162773288,2,153.07034855561037,campus
15,704.481041517074,352.9870104812104,1.0,3.7037037037037037e-05,7,54.01605217797112,3,233.61110877286006,campus
16,323.04045409981893,71.8467716349414,1.0,3.7037037037037037e-05,1,67.78576806093504,2,154.02675163967885,campus
17,451.9538627522833,32.99948543528173,1.0,3.7037037037037037e-05,2,93.06540975745877,1,194.336876063534,campus
18,258.7926905042146,634.7193558724266,1.0,3.7037037037037037e-05,9,24.49585298283481,8,165.62428873862777,campus
19,411.4508386187611,423.8402782402963,1.0,3.7037037037037037e-05,6,75.04888458740096,5,139.93978004497166,campus
20,722.5180652690141,463.1119267782373,1.0,3.7037037037037037e-05,7,111.79673260320132,11,174.20268868548897,campus
21,95.14457660098633,190.05469773242856,1.0,3.7037037037037037e-05,0,65.3524509027625,4,184.11802047027282,campus
22,717.3441626241766,597.2469452981732,1.0,3.7037037037037037e-05,11,67.8822923191601,7,231.68565486169513,campus
23,323.2375094583308,12.034874500966238,1.0,3.7037037037037037e-05,1,120.47511734875076,2,183.22077503786997,campus
