user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,second_nearest_gpu_id,second_nearest_distance_m
0,2750.2931836911926,2232.1073814882275,1.0,0.0016666666666666668,0,1090.1252317193375,1,2252.844440745146
1,265.35969683863624,1988.376506866485,1.0,0.0016666666666666668,0,1406.8600845267997,3,3023.2915560858514
2,927.458433801479,967.1637683346402,1.0,0.0016666666666666668,0,1363.7964153724388,3,4138.109135566914
3,2278.9827565154687,2893.8796360210717,1.0,0.0016666666666666668,0,992.1263909259617,4,2355.2913670080447
4,797.919769236275,2327.908863610302,1.0,0.0016666666666666668,0,894.8746325630391,3,2788.681946603172
5,1010.0142940972911,2779.736031100921,1.0,0.0016666666666666668,0,935.6269228678009,3,2439.200886739823
6,1634.024937619284,3794.554417576478,1.0,0.0016666666666666668,0,1681.6222558614293,3,2030.5507994005195
7,2290.480719641044,321.0024390403776,1.0,0.0016666666666666668,0,1897.7068509345663,1,3248.637016643828
8,3154.530480590819,2677.4087597570274,1.0,0.0016666666666666668,0,1591.2303326058532,1,1929.775629858938
9,2648.8016649805245,2466.2750769398344,1.0,0.0016666666666666668,0,1043.655072883727,1,2377.5535791224315
10,909.094121737939,471.1637542473457,1.0,0.0016666666666666668,0,1808.4138409658387,1,4408.169105095407
11,3075.141254026614,579.2516649418756,1.0,0.0016666666666666668,0,2082.533924866833,1,2461.3469921804326
12,2011.510633896959,3117.1629130089495,1.0,0.0016666666666666668,0,1061.4896497715845,4,2300.4977425938037
13,1210.0419586826572,2246.9733703155734,1.0,0.0016666666666666668,0,475.80314792397246,3,3007.2175121736964
14,2301.14732596577,2202.1738445155947,1.0,0.0016666666666666668,0,640.681599556092,1,2700.3172747130725
15,2142.368073704386,1323.11848725025,1.0,0.0016666666666666668,0,922.278558084101,1,2964.8552162562955
16,1547.9682527406412,2967.078254945642,1.0,0.0016666666666666668,0,862.0404800251389,3,2555.186203196896
17,801.1146524058688,1858.249609807232,1.0,0.0016666666666666668,0,902.3333948294251,3,3242.2800928630127
18,2352.038950009312,1198.866139471242,1.0,0.0016666666666666668,0,1142.7295067024045,1,2801.3913932002683
19,732.60721099633,2131.543122670404,1.0,0.0016666666666666668,0,934.2389225234946,3,2960.5334287427454
20,1342.911143933677,1154.2867041910222,1.0,0.0016666666666666668,0,1012.139584800665,1,3780.7284464700333
21,1480.9378556748266,1274.4551928213875,1.0,0.0016666666666666668,0,859.1102176164313,1,3617.6474989395633
22,2495.2973922292445,1027.9362167178563,1.0,0.0016666666666666668,0,1365.4787308785242,1,2729.7324028060434
23,236.6443470145152,1931.2978832770866,1.0,0.0016666666666666668,0,1441.5515935714404,3,3077.813059325341
24,4.059396972875273,2869.137168689272,1.0,0.0016666666666666668,0,1826.3709823603808,3,2130.8666979812124
25,1991.2993272657664,244.2538772682634,1.0,0.0016666666666666668,0,1896.978892001966,1,3541.951793419336
26,774.8335386473582,2857.281508631525,1.0,0.0016666666666666668,0,1161.4436261346284,3,2278.510378704732
27,2717.151070821846,3197.095684187623,1.0,0.0016666666666666668,0,1509.3841187302003,4,1905.2937153679497
28,2205.386943238189,2194.2163462143617,1.0,0.0016666666666666668,0,544.7704914875198,1,2795.7857300187707
29,2116.6028421148153,3268.4580488130855,1.0,0.0016666666666666668,0,1239.7379596024325,4,2116.286796686001
30,2522.715317823806,819.0623276164255,1.0,0.0016666666666666668,0,1551.6887140867645,1,2794.9702215802004
31,203.80017320332345,1523.8234578479037,1.0,0.0016666666666666668,0,1577.149904949897,3,3482.1455832297147
32,1080.9874965760657,256.7842549746602,1.0,0.0016666666666666668,0,1946.659145883764,1,4336.487098045506
33,930.5335055467168,2215.9640047253015,1.0,0.0016666666666666668,0,743.2650226209495,3,2935.4299562296223
34,2514.0367620094153,1206.5588475230581,1.0,0.0016666666666666668,0,1241.0167388744412,1,2646.148191851562
35,1925.842934515174,1195.5474125505284,1.0,0.0016666666666666668,0,953.5975926139356,1,3208.211007224674
36,1851.4984243766198,2163.846398786057,1.0,0.0016666666666666668,0,191.6318141671822,1,3148.9081073392445
37,2829.98703274955,1005.2610809079076,1.0,0.0016666666666666668,0,1606.533761690192,1,2436.5125706404897
38,1941.1757809107344,2274.831634825547,1.0,0.0016666666666666668,0,318.53417190980275,4,3060.1706392307537
39,1794.4154368540333,141.48367256063833,1.0,0.0016666666666666668,0,1975.8993318513728,1,3763.45996364672
40,1843.6367039008173,513.7671718357784,1.0,0.0016666666666666668,0,1609.2421802594858,1,3538.498463414907
41,536.0907429253315,1491.9758447365516,1.0,0.0016666666666666668,0,1290.03217266546,3,3548.750027624102
