regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,52.32,56.354,52.642,0.0798
pure,2,1,0.5,4.0,0,0,256,1024,640,59.684,75.012,61.026,0.0876
pure,2,1,0.5,4.0,0,0,512,2048,1280,81.378,111.94,78.337,-0.0995
pure,2,1,0.5,4.0,0,0,1024,4096,2560,119.236,161.028,116.804,-0.0582
pure,2,1,0.5,4.0,0,0,2048,8192,5120,184.326,263.399,192.582,0.1044
pure,2,1,0.5,4.0,0,0,4096,16384,10240,323.976,481.838,333.867,0.0627
mixed,2,1,0.5,4.0,16,0,128,512,320,95.203,142.085,104.74,0.2034
mixed,2,1,0.5,4.0,16,0,256,1024,640,157.315,194.023,165.475,0.2223
mixed,2,1,0.5,4.0,16,0,512,2048,1280,218.567,290.857,287.047,0.9473
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,340.233,487.086,482.575,0.9693
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,586.351,872.121,870.109,0.993
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,1067.232,1646.959,1637.26,0.9833
mixed,2,1,0.5,4.0,16,512,128,512,320,124.387,147.365,142.406,0.7842
mixed,2,1,0.5,4.0,16,512,256,1024,640,166.468,240.263,191.302,0.3365
mixed,2,1,0.5,4.0,16,512,512,2048,1280,289.257,435.47,292.935,0.0252
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,530.479,675.922,531.248,0.0053
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,773.496,1064.381,1012.444,0.8215
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,1256.997,1834.936,1830.934,0.9931
mixed,2,1,0.5,4.0,16,1024,128,512,320,173.125,195.493,190.918,0.7955
mixed,2,1,0.5,4.0,16,1024,256,1024,640,208.327,245.352,240.647,0.8729
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,289.801,436.109,337.291,0.3246
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,533.52,824.214,534.287,0.0026
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,961.756,1255.618,1015.966,0.1845
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,1446.507,2022.393,1978.329,0.9235
mixed,2,1,0.5,4.0,16,2048,128,512,320,269.607,293.034,288.424,0.8032
mixed,2,1,0.5,4.0,16,2048,256,1024,640,305.865,343.722,336.683,0.8141
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,368.009,442.412,435.531,0.9075
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,534.192,827.031,630.099,0.3275
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,1019.709,1606.22,1020.925,0.0021
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,1827.254,2401.928,1983.835,0.2725
mixed,2,1,0.5,4.0,16,4096,128,512,320,464.655,488.91,479.916,0.6292
mixed,2,1,0.5,4.0,16,4096,256,1024,640,499.663,535.954,530.766,0.857
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,561.744,636.945,629.426,0.9
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,684.693,832.92,822.679,0.9309
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,1023.324,1607.533,1210.787,0.3209
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,1993.818,3155.803,1992.347,-0.0013
mixed,2,1,0.5,4.0,16,8192,128,512,320,853.528,877.819,867.96,0.5941
mixed,2,1,0.5,4.0,16,8192,256,1024,640,888.632,926.267,916.762,0.7474
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,948.827,1024.414,1012.669,0.8446
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,1073.182,1219.14,1210.179,0.9386
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,1320.422,1618.8,1601.45,0.9419
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,1995.641,3161.432,2375.492,0.3258
